"matching","logodds","df","set"
"nonmatch",-6.88103916138238,3,"S-10-09-02-01"
"nonmatch",-5.16213846633184,3,"S-10-09-02-01"
"nonmatch",-7.11538331754334,3,"S-10-09-02-01"
"nonmatch",-5.69502649450276,3,"S-10-09-02-01"
"match",8.35045499174421,3,"S-10-09-02-01"
"nonmatch",-8.92467466545867,3,"S-10-09-02-01"
"nonmatch",-6.22443856113802,3,"S-10-09-02-01"
"nonmatch",-6.1927368327515,3,"S-10-09-02-01"
"nonmatch",-4.13023861832347,3,"S-10-09-02-01"
"nonmatch",-8.20717900593974,3,"S-10-09-02-01"
"nonmatch",-5.80300537511114,3,"S-10-09-02-01"
"nonmatch",-8.39313084346179,3,"S-10-09-02-01"
"nonmatch",-5.12499050671337,3,"S-10-09-02-01"
"nonmatch",-7.67096620566291,3,"S-10-09-02-01"
"nonmatch",-7.42435007194743,3,"S-10-09-02-01"
"nonmatch",-7.44899860490091,3,"S-10-09-02-01"
"nonmatch",-4.96392815717336,3,"S-10-09-02-01"
"nonmatch",-8.41818257955137,3,"S-10-09-02-01"
"nonmatch",-8.43697990032056,3,"S-10-09-02-01"
"nonmatch",-6.82648094425708,3,"S-10-09-02-01"
"nonmatch",-6.60636489688575,3,"S-10-09-02-01"
"nonmatch",-6.31990652198763,3,"S-10-09-02-01"
"nonmatch",-8.88778966905841,3,"S-10-09-02-01"
"match",8.36690346886271,3,"S-10-09-02-01"
"nonmatch",-7.52856741179861,3,"S-10-09-02-01"
"nonmatch",-5.80321183400336,3,"S-10-09-02-01"
"nonmatch",-7.60527775210209,3,"S-10-09-02-01"
"nonmatch",-8.12514583040053,3,"S-10-09-02-01"
"nonmatch",-7.74602591583329,3,"S-10-09-02-01"
"nonmatch",-8.15584057239071,3,"S-10-09-02-01"
"nonmatch",-6.95813588632282,3,"S-10-09-02-01"
"nonmatch",-6.77624427468579,3,"S-10-09-02-01"
"nonmatch",-6.33282736588593,3,"S-10-09-02-01"
"nonmatch",-8.55897278403593,3,"S-10-09-02-01"
"nonmatch",-6.03133566067064,3,"S-10-09-02-01"
"nonmatch",-8.42079535105646,3,"S-10-09-02-01"
"nonmatch",-7.06059297251635,3,"S-10-09-02-01"
"nonmatch",-8.32041836633398,3,"S-10-09-02-01"
"nonmatch",-8.45418612201548,3,"S-10-09-02-01"
"nonmatch",-8.83711413582927,3,"S-10-09-02-01"
"nonmatch",-8.23721121638301,3,"S-10-09-02-01"
"nonmatch",-7.91790545071179,3,"S-10-09-02-01"
"match",8.06910874934895,3,"S-10-09-02-01"
"nonmatch",-7.44525571676892,3,"S-10-09-02-01"
"nonmatch",-7.15097866128094,3,"S-10-09-02-01"
"nonmatch",-4.67255504580781,3,"S-10-09-02-01"
"nonmatch",-3.54750428424491,3,"S-10-09-02-01"
"nonmatch",-7.30077425651941,3,"S-10-09-02-01"
"nonmatch",-5.98197394150294,3,"S-10-09-02-01"
"nonmatch",-7.58627454362976,3,"S-10-09-02-01"
"nonmatch",-8.17146238299683,3,"S-10-09-02-01"
"nonmatch",-6.59349788783343,3,"S-10-09-02-01"
"nonmatch",-6.88536935166445,3,"S-10-09-02-01"
"nonmatch",-6.62391855616496,3,"S-10-09-02-01"
"nonmatch",-8.80802511380696,3,"S-10-09-02-01"
"nonmatch",-5.81351122005058,3,"S-10-09-02-01"
"nonmatch",-5.0103058460322,3,"S-10-09-02-01"
"nonmatch",-6.77931538466624,3,"S-10-09-02-01"
"nonmatch",-7.85528717786198,3,"S-10-09-02-01"
"nonmatch",-5.51254311206097,3,"S-10-09-02-01"
"nonmatch",-7.07963400545208,3,"S-10-09-02-01"
"match",8.2119164786081,3,"S-10-09-02-01"
"nonmatch",-7.846466022492,3,"S-10-09-02-01"
"nonmatch",-6.1054483107101,3,"S-10-09-02-01"
