"matching","logodds","df","set"
"nonmatch",-13.6333300006341,5,"K-9-9-01"
"nonmatch",-14.4175816883606,5,"K-9-9-01"
"nonmatch",-11.6480296432582,5,"K-9-9-01"
"nonmatch",-8.47252705145635,5,"K-9-9-01"
"nonmatch",-13.9227649085266,5,"K-9-9-01"
"nonmatch",-8.82864644156752,5,"K-9-9-01"
"nonmatch",-12.1405221900156,5,"K-9-9-01"
"nonmatch",-14.9340068934578,5,"K-9-9-01"
"nonmatch",-14.2737776717728,5,"K-9-9-01"
"nonmatch",-13.8146467026157,5,"K-9-9-01"
"match",12.5333102887842,5,"K-9-9-01"
"nonmatch",-14.6034660737872,5,"K-9-9-01"
"nonmatch",-10.1138227764507,5,"K-9-9-01"
"nonmatch",-10.3986793461001,5,"K-9-9-01"
"nonmatch",-12.904394324973,5,"K-9-9-01"
"nonmatch",-12.2511582313334,5,"K-9-9-01"
"nonmatch",-12.7833369874764,5,"K-9-9-01"
"nonmatch",-12.8433416226595,5,"K-9-9-01"
"nonmatch",-13.6919189416797,5,"K-9-9-01"
"nonmatch",-14.1732097405951,5,"K-9-9-01"
